Name,Yelp URL
Teaquation,https://www.yelp.com/biz/teaquation-redwood-city
Taqueria Guadalajara,https://www.yelp.com/biz/taqueria-guadalajara-san-francisco-2
Lolo,https://www.yelp.com/biz/loló-san-francisco-4
Philz Coffee,https://www.yelp.com/biz/philz-coffee-san-francisco?osq=Philz+coffee+mission
21st Amendment Brewpub,https://www.yelp.com/biz/21st-amendment-brewpub-san-francisco-4
